team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Jaipur Pink Panthers,U Mumba,28,44,40,40,24,32,23,22,10,4,,,,,5,Choice of court :Right,5,U Mumba,U Mumba
Dabang Delhi K.C.,Bengal Warriors,39,40,44,45,27,32,19,21,12,9,,,,,2,Choice of court :Left,4,Bengal Warriors,Bengal Warriors
Dabang Delhi,Patna Pirates,45,26,45,44,25,28,12,22,7,14,,,,,6,Choice of court :Left,,,Dabang Delhi
Dabang Delhi,Jaipur Pink Panthers,21,51,39,40,33,21,27,9,13,6,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Jaipur Pink Panthers,Puneri Paltan,31,18,44,44,21,21,9,15,6,12,,,,,7,Choice of court :Left,,,Jaipur Pink Panthers
Dabang Delhi,Telugu Titans,45,45,44,44,35,35,28,28,8,7,,,,,8,Choice of court :Right,,,Match Tied
Bengaluru Bulls,U Mumba,29,36,49,48,20,30,11,12,18,10,,,,,1,Choice of court :Right,,,U Mumba
Bengal Warriors,Puneri Paltan,31,28,46,46,19,20,10,11,10,13,,,,,7,Choice of court :Left,,,Bengal Warriors
Haryana Steelers,Gujarat Fortunegiants,27,27,45,44,20,19,12,11,9,8,1,0,1,1,28,Choice of court :Left,28,Haryana Steelers,Match Tied
Bengaluru Bulls,Jaipur Pink Panthers,25,27,52,53,16,23,9,11,12,9,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Bengal Warriors,Patna Pirates,32,34,47,47,25,25,18,16,9,8,,,,,4,Choice of court :Right,,,Patna Pirates
Bengaluru Bulls,Dabang Delhi,40,21,47,46,22,24,8,18,6,14,,,,,2,Choice of court :Left,,,Bengaluru Bulls
Patna Pirates,U Mumba,27,32,48,49,26,22,15,11,11,11,,,,,6,Choice of court :Right,,,U Mumba
Patna Pirates,Telugu Titans,34,35,40,41,23,28,19,23,5,8,,,,,8,Choice of court :Left,,,Patna Pirates
Bengaluru Bulls,Telugu Titans,43,29,52,52,30,26,15,18,9,18,,,,,1,Choice of court :Left,,,Bengaluru Bulls
Puneri Paltan,Dabang Delhi,33,28,40,40,23,24,12,17,8,11,,,,,2,Choice of court :Left,,,Puneri Paltan
Jaipur Pink Panthers,Bengal Warriors,38,39,43,39,22,33,19,20,13,5,,,,,4,Choice of court :Left,,,Bengal Warriors
Puneri Paltan,U Mumba,34,39,43,43,27,27,17,13,14,12,,,,,7,Choice of court :Right,,,U Mumba
U Mumba,Telugu Titans,25,46,43,43,30,27,25,15,13,5,,,,,5,Choice of court :Right,,,Telugu Titans
Puneri Paltan,Patna Pirates,21,38,43,44,21,18,14,5,15,9,,,,,7,Choice of court :Right,,,Patna Pirates
Patna Pirates,Jaipur Pink Panthers,26,24,42,43,19,18,6,9,9,14,,,,,3,Choice of court :Left,,,Patna Pirates
Puneri Paltan,Bengaluru Bulls,30,31,48,47,23,24,15,17,9,8,,,,,7,Choice of court :Left,,,Bengaluru Bulls
Telugu Titans,Bengaluru Bulls,38,39,52,52,28,27,19,14,15,9,,,,,8,Choice of court :Right,,,Bengaluru Bulls
U Mumba,Patna Pirates,35,18,50,50,24,19,8,12,7,16,,,,,6,Choice of court :Right,,,U Mumba
Bengal Warriors,Puneri Paltan,37,34,40,39,29,30,21,22,8,9,,,,,7,Choice of court :Right,4,Bengal Warriors,Bengal Warriors
Patna Pirates,Telugu Titans,26,34,46,46,24,20,17,13,9,7,,,,,6,Choice of court :Right,,,Telugu Titans
U Mumba,Bengaluru Bulls,36,30,52,51,29,26,15,16,10,14,,,,,5,Choice of court :Right,,,U Mumba
Telugu Titans,U Mumba,25,27,40,40,17,23,11,16,8,7,,,,,5,Choice of court :Left,,,U Mumba
Dabang Delhi,Bengaluru Bulls,29,35,42,42,21,27,16,16,11,7,,,,,2,Choice of court :Right,,,Bengaluru Bulls
Jaipur Pink Panthers,U Mumba,27,18,39,39,18,19,8,10,9,11,,,,,5,Choice of court :Left,,,Jaipur Pink Panthers
Telugu Titans,Puneri Paltan,27,26,43,43,19,19,11,9,11,10,0,0,2,1,7,Choice of court :Left,,,Telugu Titans
Patna Pirates,Jaipur Pink Panthers,29,28,39,40,22,20,12,14,9,10,,,,,6,Choice of court :Left,,,Patna Pirates
Telugu Titans,Dabang Delhi,45,34,42,43,32,26,20,22,4,13,1,1,1,0,2,Choice of court :Left,,,Telugu Titans
Telugu Titans,Bengal Warriors,17,25,41,41,16,16,9,6,11,7,0,0,0,0,4,Choice of court :Left,,,Bengal Warriors
Bengaluru Bulls,Patna Pirates,24,33,43,42,21,24,16,14,11,5,,,,,1,Choice of court :Right,,,Patna Pirates
Jaipur Pink Panthers,Patna Pirates,35,18,39,39,16,20,9,17,3,12,,,,,3,Choice of court :Right,,,Jaipur Pink Panthers
Dabang Delhi,Puneri Paltan,20,38,41,41,25,24,20,11,13,5,,,,,7,Choice of court :Left,,,Puneri Paltan
Bengaluru Bulls,Bengal Warriors,24,34,41,42,24,20,17,11,10,8,,,,,1,Choice of court :Right,,,Bengal Warriors
Dabang Delhi,U Mumba,17,30,40,41,21,16,12,5,13,9,,,,,2,Choice of court :Right,,,U Mumba
Bengaluru Bulls,Jaipur Pink Panthers,36,26,43,44,22,18,11,14,5,12,,,,,1,Choice of court :Left,,,Bengaluru Bulls
U Mumba,Patna Pirates,26,40,43,43,24,28,18,14,16,6,,,,,5,Choice of court :Right,,,Patna Pirates
Bengaluru Bulls,Telugu Titans,26,35,41,40,17,27,11,16,11,7,0,0,0,2,1,Choice of court :Left,,,Telugu Titans
Bengal Warriors,Puneri Paltan,33,28,40,40,17,22,8,16,7,11,,,,,7,Choice of court :Left,,,Bengal Warriors
Jaipur Pink Panthers,Dabang Delhi,39,34,40,39,20,26,12,18,8,11,,,,,3,Choice of court :Left,,,Jaipur Pink Panthers
Patna Pirates,Telugu Titans,29,25,40,41,25,19,16,15,4,9,1,0,0,0,8,Choice of court :Left,,,Patna Pirates
Bengal Warriors,Dabang Delhi,34,17,41,41,16,19,7,13,6,13,,,,,4,Choice of court :Right,,,Bengal Warriors
Bengal Warriors,U Mumba,28,38,37,37,30,25,25,17,8,6,,,,,5,Choice of court :Right,4,Bengal Warriors,U Mumba
Bengal Warriors,Patna Pirates,31,36,42,42,29,23,20,15,8,10,,,,,6,Choice of court :Left,,,Patna Pirates
U Mumba,Bengaluru Bulls,29,28,42,42,24,16,13,7,10,11,,,,,5,Choice of court :Right,,,U Mumba
Bengal Warriors,Jaipur Pink Panthers,34,20,43,42,18,19,8,15,6,13,,,,,3,Choice of court :Left,,,Bengal Warriors
Puneri Paltan,Patna Pirates,30,30,45,44,25,23,15,14,10,10,,,,,6,Choice of court :Left,,,Match Tied
Patna Pirates,Dabang Delhi,47,34,44,44,30,25,19,20,6,11,,,,,6,Choice of court :Right,,,Patna Pirates
Puneri Paltan,Jaipur Pink Panthers,32,32,41,42,24,25,16,18,7,9,,,,,7,Choice of court :Right,,,Match Tied
Jaipur Pink Panthers,Telugu Titans,25,27,41,42,21,16,13,7,9,8,0,0,3,1,3,Choice of court :Right,,,Telugu Titans
Puneri Paltan,U Mumba,27,29,42,43,19,19,12,10,10,9,,,,,7,Choice of court :Right,,,U Mumba
U Mumba,Bengal Warriors,32,21,40,40,16,16,6,13,4,12,,,,,5,Choice of court :Right,,,U Mumba
Puneri Paltan,Bengaluru Bulls,29,27,40,40,25,17,15,11,6,10,,,,,1,Choice of court :Right,,,Puneri Paltan
